Timestamp,Country,State (na if not applicable),City,Age,Major Category/Industry,Major,City in Taiwan you're from,Birth Month,Comments/Questions,Gender,Age When Moved Abroad,Where would you rather be
12/20/2018 8:50:28,日本東京,東京,東京,23,"Engineering, Computer Science",AI,台北,May,,Male,23,6
12/21/2018 7:46:06,中國,山東,濟南,22,Language school,英文,新竹,May,,Female,2,10
12/20/2018 4:39:03,Vietnam,na,Ho Chi Minh City,18,Language school,Vietnamese,彰化,March,,Male,18,10
12/18/2018 19:02:46,USA,Rhode Island,Providence,,"Art, Music, Architecture, Film, Media",,台北,May,,,,
12/19/2018 13:57:50,USA,IL,Chicagi,20,"Art, Music, Architecture, Film, Media","Architecture, Art and Planning",台北,June,,Female,,
12/19/2018 23:36:30,USA,CA,San Francisco,23,"Art, Music, Architecture, Film, Media",,台中,August,,Female,,
12/19/2018 0:58:04,USA,CA,San diego,21,"Art, Music, Architecture, Film, Media",media studies,台中,July,,,,
12/19/2018 5:10:21,USA,IL,Chicago,24,"Art, Music, Architecture, Film, Media",Music performance,新北,April,,Female,,
12/19/2018 20:42:44,USA,CA,Los Angeles,18,"Art, Music, Architecture, Film, Media",Photography,台北,August,,Female,,
12/19/2018 14:39:40,USA,NY,Oakland garden ,20,"Economics, Management",Accounting ,桃園,,,Female,,
12/18/2018 21:24:45,USA,California,Davis,20,"Economics, Management",Double major in Managerial Economics and Statistics,台北,September,,,,
12/18/2018 22:13:04,USA,CA,LA,19,"Economics, Management",,高雄,,,,,
12/19/2018 1:08:00,USA,PA,Philadelphia ,21,"Economics, Management",,台中,October,,,,
12/19/2018 5:47:43,USA,CA,San Francisco ,24,"Economics, Management",Economics and Management,桃園,October,,Female,,
12/19/2018 6:33:54,USA,CA,Hayward,24,"Economics, Management",Economics and Management,台北,May,,Female,,
12/19/2018 11:27:23,USA,Connecticut,Stamford,20,"Economics, Management",Economics and Management,台南,September,,Female,,
12/19/2018 12:47:08,USA,MA,Boston,18,"Economics, Management",Business administration and management,台中,August,,Female,,
12/19/2018 13:09:39,USA,MA,Boston,23,"Economics, Management",Global Marketing Management ,新北,May,辛苦了！祝期末,Female,,
12/19/2018 18:38:45,USA,Michigan,Ann Arbor,24,"Economics, Management",,桃園,December,,Male,,
12/19/2018 19:30:18,USA,Ca,Pasadena ,20,"Economics, Management",,台中,May,,Female,,
12/19/2018 20:29:16,USA,WA,Seattle,20,"Economics, Management",Finance / Info System,花蓮,December,,Female,,
12/19/2018 23:17:00,USA,TX,Austin,21,"Economics, Management",,新北,August,,Male,,
12/19/2018 13:58:44,USA,AL,Birmingham,22,"Economics, Management",MBA,高雄,June,,Male,,
12/20/2018 0:12:38,USA,DC,Washington,23,"Economics, Management",,台北,August,,Female,,
12/19/2018 11:56:35,USA,New York,New York,23,"Economics, Management",Integrated Marketing,高雄,March,,Female,,
12/19/2018 20:33:07,USA,CA,San Diego,21,Engineering,Computer Science,台中,October,,Female,,
12/18/2018 19:10:23,USA,Washington,Seattle,,Engineering,,台北,,,,,
12/18/2018 20:00:19,USA,Texas,Houston,,Engineering,,,,,,,
12/18/2018 20:19:08,USA,Massachusetts,Cambridge ,,Engineering,,台中,July,I need a bf.,,,
12/18/2018 22:10:58,USA,CA,Berkeley,17,Engineering,,台北,,,,,
12/18/2018 22:22:51,USA,GA,Atlanta,25,Engineering,,桃園,June,,,,
12/18/2018 23:21:22,USA,Arkansas,Fayetteville,22,Engineering,Civil engineering ,台中,February,我只是想被加上地圖，阿肯色代表是我嗚嗚嗚,,,
12/19/2018 16:03:12,USA,Ohio,Columbus,22,Engineering,ChemE,高雄,August,,Male,,
12/19/2018 19:47:49,USA,Ca,San Jose,28,Engineering,,台北,April,,Male,,
12/19/2018 20:49:49,USA,CA,Ketingcrom,21,Engineering,,新竹,August,,Male,,
12/19/2018 20:53:31,USA,Georgia,Atlanta,19,Engineering,,新北,,,Female,,
12/19/2018 21:05:38,USA,OH,Toledo ,22,Engineering,Mechanical Engineering,台南,July,我以為我上次有填到😭,Female,,
12/19/2018 21:21:48,USA,Florida,Gainesville,,Engineering,,屏東,,,Female,,
12/19/2018 21:22:38,USA,Florida,Gainesville,,Engineering,,屏東,,,Female,,
12/19/2018 21:24:18,USA,Florida,New Port Richey,,Engineering,,屏東,,,Female,,
